age;male_death_prob;male_survivor;male_life_expect;female_death_prob;female_survivor;female_life_expect
0;0.006364;100,000;76.04;0.005331;100,000;80.99
1;0.000432;99,364;75.52;0.000359;99,467;80.43
2;0.000284;99,321;74.55;0.000247;99,431;79.46
3;0.000234;99,292;73.58;0.000169;99,407;78.48
4;0.000170;99,269;72.59;0.000155;99,390;77.49
5;0.000157;99,252;71.60;0.000135;99,375;76.50
6;0.000147;99,237;70.62;0.000120;99,361;75.51
7;0.000136;99,222;69.63;0.000109;99,349;74.52
8;0.000120;99,209;68.64;0.000100;99,338;73.53
9;0.000101;99,197;67.64;0.000094;99,328;72.54
10;0.000088;99,187;66.65;0.000093;99,319;71.54
11;0.000093;99,178;65.66;0.000098;99,310;70.55
12;0.000130;99,169;64.66;0.000113;99,300;69.56
13;0.000209;99,156;63.67;0.000140;99,289;68.56
14;0.000320;99,135;62.68;0.000176;99,275;67.57
15;0.000441;99,103;61.70;0.000216;99,258;66.58
16;0.000564;99,060;60.73;0.000259;99,236;65.60
17;0.000701;99,004;59.76;0.000301;99,211;64.62
18;0.000851;98,934;58.81;0.000342;99,181;63.63
19;0.001007;98,850;57.86;0.000381;99,147;62.66
20;0.001173;98,751;56.91;0.000423;99,109;61.68
21;0.001331;98,635;55.98;0.000466;99,067;60.71
22;0.001455;98,504;55.05;0.000505;99,021;59.73
23;0.001531;98,360;54.13;0.000539;98,971;58.76
24;0.001572;98,210;53.22;0.000568;98,918;57.80
25;0.001602;98,055;52.30;0.000598;98,861;56.83
26;0.001635;97,898;51.38;0.000630;98,802;55.86
27;0.001669;97,738;50.47;0.000666;98,740;54.90
28;0.001708;97,575;49.55;0.000707;98,674;53.93
29;0.001752;97,408;48.63;0.000753;98,605;52.97
30;0.001794;97,238;47.72;0.000803;98,530;52.01
31;0.001835;97,063;46.80;0.000853;98,451;51.05
32;0.001880;96,885;45.89;0.000905;98,367;50.09
33;0.001930;96,703;44.97;0.000956;98,278;49.14
34;0.001986;96,516;44.06;0.001009;98,184;48.19
35;0.002052;96,325;43.15;0.001069;98,085;47.23
36;0.002125;96,127;42.23;0.001134;97,980;46.28
37;0.002196;95,923;41.32;0.001199;97,869;45.34
38;0.002264;95,712;40.41;0.001263;97,752;44.39
39;0.002334;95,495;39.50;0.001329;97,628;43.45
40;0.002420;95,272;38.59;0.001403;97,499;42.50
41;0.002530;95,042;37.69;0.001491;97,362;41.56
42;0.002663;94,801;36.78;0.001597;97,217;40.62
43;0.002823;94,549;35.88;0.001724;97,061;39.69
44;0.003013;94,282;34.98;0.001871;96,894;38.76
45;0.003229;93,998;34.08;0.002033;96,713;37.83
46;0.003479;93,694;33.19;0.002212;96,516;36.90
47;0.003780;93,369;32.30;0.002417;96,303;35.98
48;0.004140;93,016;31.43;0.002651;96,070;35.07
49;0.004553;92,631;30.55;0.002911;95,815;34.16
50;0.005007;92,209;29.69;0.003193;95,536;33.26
51;0.005493;91,747;28.84;0.003492;95,231;32.36
